Timestamp (s),X-Position (%),Y-Position (%)
37281,32,29
39340,33,30
41115,33,31
41590,33,31
41590,34,32
41590,35,33
42214,35,33
42485,35,33
42605,35,33
42902,36,34
42963,37,44
42963,39,47
44109,31,35
44350,29,36
44880,34,34
45080,36,34
45380,34,40
45579,33,39
45949,34,34
46151,34,36
46477,35,38
47195,35,34
47692,37,36
49227,34,32
49491,37,39
52459,35,34
52924,36,36
53993,35,34
54762,35,35
55062,35,36
55462,38,40
56727,35,34
56891,35,37
57457,39,38
58091,36,35
58261,36,35
59191,34,32
60026,35,35
61391,36,35
62655,41,49
63320,37,34
63560,37,35
64524,34,30
64959,36,34
65060,36,35
65671,44,48
66100,35,33
67599,44,50
68229,33,27
69129,31,26
69928,31,27
70128,31,27
70679,42,48
70948,42,48
71418,31,27
71584,31,28
71848,35,33
72013,35,27
72013,39,28
72013,49,28
72239,35,34
72239,36,35
72458,36,36
72553,36,37
72658,38,39
73357,33,28
73622,34,33
74257,32,28
74557,36,34
74657,36,35
79821,35,34
79988,36,35
80422,36,36
80554,33,32
81495,36,37
81561,34,32
82128,34,33
82161,34,33
82294,33,31
82462,40,46
82927,34,33
84094,36,35
84160,34,33
84193,34,33
84429,34,32
84562,34,32
85260,35,33
85328,35,36
85460,34,31
85960,35,33
86328,37,37
86661,36,35
86828,34,32
87026,34,32
87127,35,32
87193,35,32
87326,35,33
88359,34,32
88427,35,33
88527,35,36
88894,38,34
88925,36,34
88959,35,33
90271,34,32
90502,35,33
90802,36,36
91170,35,34
91270,37,33
91270,35,33
91304,35,32
91337,34,31
91369,34,31
92202,34,32
92270,34,35
92768,35,34
92835,35,33
92937,35,33
93703,35,34
93769,35,33
94101,34,32
94168,34,33
94269,35,34
95502,34,31
95567,34,32
95601,35,33
95635,35,33
95669,35,34
95867,44,49
96235,58,50
96400,34,32
96434,34,34
96467,35,35
97684,32,32
97720,33,34
97784,34,34
97921,30,31
98084,33,32
98587,33,32
98650,34,34
98753,35,32
98784,35,32
99583,36,34
99654,39,35
100319,32,32
100417,33,31
101510,36,35
101876,37,35
102276,31,28
102479,33,32
102609,34,32
102776,34,33
103012,34,33
103276,34,31
103579,35,31
103742,35,32
103913,36,34
104076,35,32
104709,33,32
104909,34,34
105212,35,33
106541,34,31
106675,34,32
106941,37,36
107244,37,36
107644,33,32
107808,35,33
107911,35,34
108111,36,33
108311,36,34
108507,37,34
108674,36,33
108807,36,32
108940,35,31
109044,32,31
109840,33,31
110573,35,32
110777,35,31
110910,36,32
