Timestamp (s),X-Position (%),Y-Position (%)
30131,59,55
30131,54,59
30829,61,54
31786,55,58
31886,59,55
32386,61,53
32386,63,52
32686,66,50
32986,67,49
32686,69,48
33086,71,46
33486,56,57
33786,61,54
33786,64,51
33686,67,50
34686,69,48
34886,67,50
34886,54,59
34886,50,61
34686,48,64
35786,71,46
35886,62,53
36186,64,51
36386,67,49
36486,56,57
36986,56,58
37886,70,47
37886,67,50
37986,64,51
38186,62,53
38686,57,56
39186,74,44
39586,66,51
39686,76,43
39986,66,51
39986,67,49
40186,73,45
40186,72,46
41886,28,67
41886,19,69
41886,61,53
41886,59,55
43086,63,53
43186,58,56
44486,63,52
44886,65,50
45086,60,54
45186,67,48
46286,77,42
47086,64,52
47286,65,53
47386,64,52
48986,63,52
49086,64,51
52486,80,38
53286,69,47
57586,84,37
57786,81,38
60286,62,52
60486,65,51
63286,64,51
63286,62,53
66886,65,51
67286,61,53
67486,69,48
67686,69,47
76786,73,44
77686,75,43
78086,77,42
81086,81,38
81086,80,39
83786,62,52
84786,70,46
84786,77,41
85486,59,55
85986,56,57
87286,60,55
87586,62,53
89686,82,38
90486,73,45
90886,82,38
90986,83,37
91386,87,34
91486,89,32
91086,61,53
91486,76,42
92586,60,55
93286,79,39
93086,81,39
94286,85,37
95186,87,35
97486,84,36
97486,86,35
97586,87,34
98786,59,55
100386,75,43
101086,58,56
101886,78,42
102186,80,39
102286,55,58
102286,58,55
103386,58,56
103586,60,55
103986,73,44
104186,59,56
105386,83,36
105386,79,38
105086,61,53
105086,64,52
105086,67,49
104986,72,45
104986,76,43
105286,59,56
105486,62,54
105486,72,46
106086,72,46
106086,61,53
106286,57,56
106286,66,50
106286,67,49
106586,65,51
107086,73,45
107086,71,46
107186,65,51
107286,63,52
107086,60,54
107386,56,58
107486,76,43
107686,58,56
107986,75,43
108086,73,45
108086,71,46
108086,67,49
108086,63,53
108286,60,55
108286,64,51
108686,68,48
108986,72,46
108986,75,44
108986,76,42
109386,63,53
109286,66,49
109786,68,49
109786,61,54
109786,58,55
109986,80,39
109986,85,37
110386,57,57
110386,64,53
110286,76,42
110486,75,44
110586,68,48
110886,58,56
111086,76,42
111486,65,51
111886,72,45
111686,61,54
112086,59,56
111986,64,52
111986,68,48
112486,68,49
112486,66,50
113386,57,57
112886,74,44
112986,76,43
113686,81,38
113586,63,53
114086,61,54
114286,65,51
114486,66,49
113486,71,46
113686,68,48
113986,75,44
114186,75,43
114286,64,51
114486,67,49
114986,60,54
115186,65,51
115186,68,50
115486,72,46
115586,73,45
115686,74,46
115886,74,44
115986,75,43
115986,77,42
116286,81,39
116386,53,60
116586,56,60
116686,56,58
116786,57,56
116886,58,53
117086,63,52
117086,63,50
117286,67,50
117286,69,49
117486,71,45
117586,73,44
117786,75,42
118086,57,58
118086,61,55
118186,60,54
118486,64,51
118586,71,46
118586,74,45
118686,75,44
118686,82,38
119086,55,59
119186,59,56
119286,61,54
119686,66,51
119686,67,50
119786,69,47
119886,73,46
119886,74,45
120086,53,60
120386,61,54
120386,62,50
120586,60,56
120686,63,55
120786,66,52
120986,68,49
121086,70,48
121586,74,45
121586,77,43
122086,52,60
122186,64,51
122186,66,50
122386,69,47
122386,71,46
122886,57,57
122886,61,55
123286,57,58
123286,67,50
123286,67,49
123486,71,47
123486,71,45
123486,74,44
124186,66,50
124186,69,48
124386,58,56
124386,60,55
124386,62,52
125186,57,57
125386,61,56
125386,64,52
125386,63,51
124886,72,45
124886,74,44
124886,75,43
125286,65,51
125486,63,53
125586,60,55
125686,69,48
125886,69,49
125986,66,50
126686,61,54
126686,62,53
126786,63,51
126986,67,49
126986,71,46
126986,73,44
126986,79,39
127586,65,50
127686,67,50
127786,57,56
128086,63,53
128086,64,51
128186,73,45
128186,76,44
128186,78,42
129486,59,56
129586,63,55
129686,63,52
129686,64,52
129686,66,50
129686,70,48
129686,72,44
129686,75,44
129686,77,43
130086,78,44
130186,78,46
130386,71,47
131386,62,53
131486,49,62
131186,44,64
131586,63,52
132086,70,47
132086,72,46
132286,75,45
132386,65,51
132386,66,50
132186,59,55
132186,57,56
133186,61,54
133186,64,53
133386,68,49
133986,70,47
134086,73,45
134186,74,44
134586,77,44
134986,65,51
134986,62,52
135586,67,49
135586,70,47
135886,71,48
136186,62,52
136186,61,53
136586,66,50
136686,65,51
137086,76,43
137086,72,44
137586,74,44
138286,66,50
138286,64,51
138386,60,54
139286,59,55
139386,62,53
139386,67,49
139686,69,47
140086,74,45
140486,76,43
140586,74,44
140586,69,49
140686,64,50
140986,60,55
141186,63,53
141186,67,49
141486,75,43
141586,70,47
141686,67,48
141886,64,52
142386,60,56
142186,76,42
142386,63,54
142486,65,53
142886,65,51
143086,67,49
143086,68,48
143186,72,45
142886,73,44
142786,74,43
143086,78,41
143586,61,54
143786,65,51
143886,66,50
145286,75,43
145286,68,48
145486,71,46
145486,71,47
145286,62,54
145086,56,58
145586,62,53
146286,59,56
146386,61,54
146586,63,51
146586,64,50
146586,68,48
146886,74,44
146986,77,43
146986,78,41
146986,83,38
146986,84,37
147486,86,38
147186,54,59
147186,57,57
